CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
2703-10,JD. ETELVINA – METRÔ ITAQUERA,JD. ETELVINA – METRÔ ITAQUERA,MANTIDA
2703-21,JD. ETELVINA – METRÔ ITAQUERA,JD. ETELVINA – METRÔ ITAQUERA,MANTIDA
2703-22,JD. GIANETTI – METRÔ ITAQUERA,,EXTINTA
2704-10,JD. ROBRU – METRÔ ITAQUERA,JD. ROBRU – METRÔ ITAQUERA,MANTIDA
2705-10,JD. FANGANIELO – METRÔ ITAQUERA,JD. FANGANIELO – METRÔ ITAQUERA,MANTIDA
2706-10,CEM. DA SAUDADE – METRÔ VL. MATILDE,,EXTINTA
2707-10,CHABILÂNDIA – METRÔ ITAQUERA,CHABILÂNDIA – METRÔ ITAQUERA,MANTIDA
2707-31,CHABILÂNDIA – METRÔ ITAQUERA,CHABILÂNDIA – METRÔ ITAQUERA,MANTIDA
2708-10,JD. LAJEADO – METRÔ ITAQUERA,JD. LAJEADO – METRÔ ITAQUERA,MANTIDA
2709-10,METRÔ PATRIARCA – VL. UNIÃO,VL. UNIÃO – METRÔ PATRIARCA,MANTIDA
2709-31,METRÔ PATRIARCA – VL. UNIÃO,VL. UNIÃO – METRÔ PATRIARCA,MANTIDA
2710-10,METRÔ PATRIARCA – BURGO PAULISTA,METRÔ PATRIARCA – TERM. A. E. CARVALHO,CORTADA
2710-10,METRÔ PATRIARCA – BURGO PAULISTA,METRÔ PATRIARCA – TERM. A. E. CARVALHO,CORTADA
2710-31,METRÔ PATRIARCA – VL. SÃO FRANCISCO,METRÔ PATRIARCA – TERM. A. E. CARVALHO,CORTADA
2711-10,PONTE RASA – METRÔ PATRIARCA,PONTE RASA – METRÔ PATRIARCA,MANTIDA
2712-10,JD. SÃO NICOLAU – SHOP. METRÔ ITAQUERA,JD. SÃO NICOLAU – SHOP. METRÔ ITAQUERA,MANTIDA
2713-10,METRÔ PENHA – CHÁC. BELA VISTA,METRÔ PENHA- CHÁC. BELA VISTA,MANTIDA
2714-10,METRÔ VL. MATILDE – VL. RUI BARBOSA,METRÔ VL. MATILDE – VL. RUI BARBOSA,MANTIDA
2715-10,VL. SÍLVIA – METRÔ PATRIARCA,VL. SÍLVIA – METRÔ PATRIARCA,MANTIDA
2716-10,CHÁC. CRUZ. DO SUL – METRÔ PENHA,CHÁC. CRUZ. DO SUL – METRÔ PENHA,MANTIDA
2717-10,METRÔ GUILHERMINA/ESPERANÇA – CANGAÍBA,METRÔ GUILHERMINA/ESPERANÇA – CANGAÍBA,MANTIDA
2718-10,VL. SÍLVIA – METRÔ PENHA,,EXTINTA
2719-10,ERMELINO MATARAZZO – METRÔ VL. MATILDE,ERMELINO MATARAZZO – METRÔ VL. MATILDE,MANTIDA
271A-10,TERM. PENHA – METRÔ SANTANA,TERM. PENHA – METRÔ SANTANA,MANTIDA
271A-51,CANGAÍBA – METRÔ SANTANA,CANGAÍBA – TERM. ARICANDUVA,CORTADA
271A-51,CANGAÍBA – METRÔ SANTANA,METRÔ SANTANA – CANGAÍBA,MANTIDA
271C-10,PQ. VL. MARIA – TERM. PRINC. ISABEL,PQ. VL. MARIA – METRÔ SANTANA,CORTADA
271F-10,SHOP. CENTER NORTE – METRÔ BELÉM,SHOP. CENTER NORTE – METRÔ BELÉM,MANTIDA
271M-10,PQ. NOVO MUNDO – METRÔ SANTANA,PQ. NOVO MUNDO – METRÔ SANTANA,MANTIDA
271P-10,CANGAÍBA – LUZ,LUZ – METRÔ BELÉM,CORTADA
2720-10,JD. BELÉM – METRÔ GUILHERMINA/ESPERANÇA,,EXTINTA
2720-31,JD. BELÉM – METRÔ GUILHERMINA/ESPERANÇA,JD. BELÉM – METRÔ GUILHERMINA ESPERANÇA,MANTIDA
2721-10,JD. NAZARÉ – METRÔ ITAQUERA,JD. NAZARÉ – METRÔ ITAQUERA,MANTIDA
